127.0.0.1 - - [21/Sep/2023:10:37:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:17 +0900] "GET /sistSemiProject0921final/index.jsp HTTP/1.1" 200 30999
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:17 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:17 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:17 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:17 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:18 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/index.jsp?main=login/loginForm.jsp HTTP/1.1" 200 14535
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/jeju/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/jeju/b1.JPG HTTP/1.1" 200 39286
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:37:56 +0900] "GET /sistSemiProject0921final/jeju/android-icon-96x96.png HTTP/1.1" 304 -
